N.	Height	Width	Thickness
1	119	20	0.62
2	118	18	0.68
3	120	21	0.57
4	116	16	0.65
5	120	16	0.40
6	116	14	0.50
7	117	20	0.43
8	117	28	0.70
9	117	16	0.69
10	114	18	0.69
11	126	15	0.54
12	86	24	0.68
13	116	19	0.52
14	114	23	0.80
15	117	24	0.54
16	117	35	0.93
17	112	29	1.00
18	117	24	0.48
19	116	23	0.62
20	119	16	0.50
21	115	16	0.66
22	116	22	0.62
23	114	22	0.57
24	118	24	0.50
25	114	21	0.47
26	117	20	0.40
27	119	34	1.55
28	119	28	0.64
29	118	27	0.55
30	117	27	0.56
31	115	23	0.59
32	114	28	0.83
33	117	28	0.95
34	115	23	0.59
35	119	22	0.64
36	115	28	0.60
37	122	20	0.41
38	121	36	1.08
39	117	31	1.06
40	122	24	0.44
41	120	31	1.05
42	117	32	1.00
43	123	44	0.60
44	116	23	0.50
45	115	25	0.70
46	113	26	0.85
47	115	30	0.84
48	114	23	0.65
49	121	25	1.15
50	118	31	1.05
51	122	20	0.57
52	108	24	0.85
53	120	19	1.27
54	116	18	0.84
55	116	16	1.05
56	120	16	0.62
57	117	19	0.55
58	120	17	0.52
59	119	21	0.63
60	117	20	0.83
61	115	16	0.63
62	116	17	0.51
63	118	17	0.67
64	115	12	0.35
65	120	18	0.54
66	115	30	1.18
67	116	16	0.74
68	117	22	0.60
69	112	21	0.50
70	119	21	0.59
71	117	15	0.85
72	116	20	0.87
73	118	18	0.82
74	117	16	1.12
75	120	19	0.91
76	115	16	1.05
77	115	13	0.48
78	118	18	0.48
79	118	18	0.50
80	119	20	0.59
81	118	20	1.00
82	118	19	0.74
83	118	23	0.91
84	115	18	1.25
85	123	23	1.10
86	115	17	0.68
87	116	16	0.52
88	121	13	0.50
89	115	18	0.75
90	117	22	0.73
91	115	14	0.95
92	116	12	0.80
93	117	19	1.07
94	112	14	0.55
95	116	13	0.80
96	115	11	0.59
97	117	16	0.48
98	107	15	0.57
99	112	20	0.56
100	116	16	0.77
101	116	47	1.10
102	116	22	0.65
103	118	25	0.38
104	117	21	0.54
105	117	23	0.64
106	100	27	0.45
107	115	19	0.58
108	118	30	0.68
109	95	18	0.96
110	117	20	0.73
111	116	27	0.73
112	119	25	1.10
113	114	20	0.89
114	116	15	0.54
115	117	20	0.87
116	117	16	0.61
117	116	29	0.48
118	117	22	1.40
119	115	19	0.59
120	118	13	0.46
121	114	21	0.64
122	114	16	0.62
123	112	21	0.83
124	117	13	0.53
125	115	21	0.53
126	115	22	0.65
127	92	22	0.62
128	119	19	0.59
129	122	19	0.65
130	115	15	0.50
131	115	18	0.51
132	115	13	0.70
133	118	18	0.30
134	113	21	0.55
135	113	27	0.60
136	117	20	0.42
137	117	24	0.79
138	117	31	0.63
139	116	35	0.80
140	114	18	0.40
141	116	27	0.35
142	116	15	0.69
143	78	21	0.58
144	113	21	0.50
145	117	21	0.49
146	120	23	0.79
147	120	17	0.30
148	116	26	1.10
149	116	23	0.62
150	123	24	0.62
151	110	23	0.67
152	116	19	1.30
153	116	18	0.91
154	116	19	0.75
155	88	31	0.90
156	121	24	0.60
157	116	15	0.98
158	117	16	0.45
159	115	17	0.67
160	117	16	0.59
161	115	16	1.00
162	117	14	0.89
163	116	29	0.53
164	117	27	0.93
165	116	15	0.75
166	118	18	0.52
167	115	13	0.45
168	117	20	1.08
169	114	19	0.75
170	117	21	0.75
171	112	19	0.43
172	114	21	0.92
173	113	16	0.66
174	101	21	0.58
175	114	15	0.56
176	119	32	0.35
177	118	22	0.75
178	117	23	0.70
179	108	16	0.45
180	116	18	0.90
181	120	17	0.75
182	117	17	0.97
183	117	13	1.30
184	100	18	0.52
185	116	18	0.63
186	116	23	1.10
187	116	20	0.49
188	116	18	0.70
189	116	15	0.64
190	113	24	1.37
191	117	12	0.50
192	101	17	0.59
193	117	17	0.65
194	118	21	0.67
195	120	19	0.63
196	84	21	0.73
197	119	25	0.60
198	116	16	0.61
199	114	15	0.52
200	115	19	0.89
